Algorithm,City One,City Two,Average Time,Path Length
a_star_search,Craiova,Sibiu,0.0008458299991616514,3
breadth_first_search,Drobeta,Mehadia,5.429999146144837e-06,2
depth_first_search,Drobeta,Mehadia,1.9899991457350554e-06,2
uniform_cost_search,Drobeta,Mehadia,3.139997716061771e-06,2
iterative_deepening,Drobeta,Mehadia,3.860000288113952e-06,2
greedy_search,Drobeta,Mehadia,0.00046588000041083435,2
a_star_search,Drobeta,Mehadia,0.00046444000254268757,2
breadth_first_search,Drobeta,Eforie,3.705000053741969e-05,7
depth_first_search,Drobeta,Eforie,1.179000100819394e-05,11
uniform_cost_search,Drobeta,Eforie,3.2910002482822164e-05,7
iterative_deepening,Drobeta,Eforie,0.0001011000007565599,7
greedy_search,Drobeta,Eforie,0.0036315299999841954,7
a_star_search,Drobeta,Eforie,0.002359940000314964,7
breadth_first_search,Drobeta,Zerind,3.1410000519827006e-05,6
depth_first_search,Drobeta,Zerind,2.2939998598303645e-05,8
uniform_cost_search,Drobeta,Zerind,2.3749999672872946e-05,6
iterative_deepening,Drobeta,Zerind,6.55400006507989e-05,6
greedy_search,Drobeta,Zerind,0.0018901099996583071,6
a_star_search,Drobeta,Zerind,0.0016398599989770446,6
breadth_first_search,Drobeta,Giurgiu,3.5490001027937976e-05,5
depth_first_search,Drobeta,Giurgiu,1.2860000424552709e-05,9
uniform_cost_search,Drobeta,Giurgiu,2.6309998793294655e-05,5
iterative_deepening,Drobeta,Giurgiu,3.026000049430877e-05,5
greedy_search,Drobeta,Giurgiu,0.0022221600003831552,5
a_star_search,Drobeta,Giurgiu,0.0017211999991559423,5
breadth_first_search,Drobeta,Iasi,4.2309999844292176e-05,7
depth_first_search,Drobeta,Iasi,1.0009999095927924e-05,11
uniform_cost_search,Drobeta,Iasi,3.778000027523376e-05,7
iterative_deepening,Drobeta,Iasi,0.00010803999975905754,7
greedy_search,Drobeta,Iasi,0.0031979899991711135,7
a_star_search,Drobeta,Iasi,0.0030270800001744647,7
breadth_first_search,Drobeta,Oradea,1.784999985829927e-05,5
depth_first_search,Drobeta,Oradea,1.9069998961640523e-05,7
uniform_cost_search,Drobeta,Oradea,2.634000265970826e-05,5
iterative_deepening,Drobeta,Oradea,3.123000278719701e-05,5
greedy_search,Drobeta,Oradea,0.002095070000359556,7
a_star_search,Drobeta,Oradea,0.0017884899993077853,7
breadth_first_search,Drobeta,Sibiu,1.1410001752665266e-05,4
depth_first_search,Drobeta,Sibiu,5.410000449046493e-06,6
uniform_cost_search,Drobeta,Sibiu,1.2730000889860094e-05,4
iterative_deepening,Drobeta,Sibiu,1.5640000492567195e-05,4
greedy_search,Drobeta,Sibiu,0.001419099999475293,4
a_star_search,Drobeta,Sibiu,0.0014649999990069772,4
breadth_first_search,Mehadia,Eforie,3.584000005503185e-05,8
depth_first_search,Mehadia,Eforie,9.810000483412295e-06,8
uniform_cost_search,Mehadia,Eforie,3.336000008857809e-05,8
iterative_deepening,Mehadia,Eforie,0.0001291899985517375,8
greedy_search,Mehadia,Eforie,0.0030985199999122416,8
a_star_search,Mehadia,Eforie,0.002666299999691546,8
