Algorithm,City One,City Two,Average Time,Path Length
uniform_cost_search,Neamt,Iasi,1.860000156739261e-06,2 
iterative_deepening,Neamt,Iasi,2.7000003683497196e-06,2 
greedy_search,Neamt,Iasi,4.760000228998251e-06,2 
a_star_search,Neamt,Iasi,1.384999995934777e-05,2 
breadth_first_search,Neamt,Urziceni,4.219999937049579e-06,4 
depth_first_search,Neamt,Urziceni,2.8200000087963415e-06,4 
uniform_cost_search,Neamt,Urziceni,4.319999789004214e-06,4 
iterative_deepening,Neamt,Urziceni,1.5290000010281802e-05,4 
greedy_search,Neamt,Urziceni,1.1900000208697747e-05,4 
a_star_search,Neamt,Urziceni,3.455000023677712e-05,4 
breadth_first_search,Neamt,Pitesti,9.860000136541203e-06,6 
depth_first_search,Neamt,Pitesti,6.6999999035033396e-06,6 
uniform_cost_search,Neamt,Pitesti,1.052999959938461e-05,6 
iterative_deepening,Neamt,Pitesti,2.3810000129742548e-05,6 
greedy_search,Neamt,Pitesti,2.793000021483749e-05,6 
a_star_search,Neamt,Pitesti,5.432000016298843e-05,6 
breadth_first_search,Oradea,Sibiu,3.7900004826951773e-06,2 
depth_first_search,Oradea,Sibiu,1.5300000086426735e-06,2 
uniform_cost_search,Oradea,Sibiu,5.079999937152024e-06,2 
iterative_deepening,Oradea,Sibiu,3.04000004689442e-06,2 
greedy_search,Oradea,Sibiu,7.749999895168003e-06,2 
a_star_search,Oradea,Sibiu,1.7409999964002053e-05,2 
breadth_first_search,Oradea,Zerind,2.750000021478627e-06,2 
depth_first_search,Oradea,Zerind,1.298000024689827e-05,12 
uniform_cost_search,Oradea,Zerind,2.4300001314259133e-06,2 
iterative_deepening,Oradea,Zerind,9.31999984459253e-06,2 
greedy_search,Oradea,Zerind,1.1309999717923346e-05,2 
a_star_search,Oradea,Zerind,1.931000024342211e-05,2 
breadth_first_search,Oradea,Mehadia,2.3079999846231657e-05,6 
depth_first_search,Oradea,Mehadia,1.022000014927471e-05,8 
uniform_cost_search,Oradea,Mehadia,2.0229999972798395e-05,6 
iterative_deepening,Oradea,Mehadia,5.841999955009669e-05,6 
greedy_search,Oradea,Mehadia,3.789000002143439e-05,6 
a_star_search,Oradea,Mehadia,7.700999994995073e-05,6 
breadth_first_search,Oradea,Hirsova,2.6390000311948824e-05,6 
depth_first_search,Oradea,Hirsova,6.44999963697046e-06,6 
uniform_cost_search,Oradea,Hirsova,4.939999926136807e-05,7 
iterative_deepening,Oradea,Hirsova,7.018000014795689e-05,6 
greedy_search,Oradea,Hirsova,6.569000015588244e-05,6 
a_star_search,Oradea,Hirsova,0.00013426999994408105,7 
breadth_first_search,Oradea,Iasi,7.590000004711328e-05,7 
depth_first_search,Oradea,Iasi,1.3929999840911478e-05,7 
uniform_cost_search,Oradea,Iasi,7.215000005089678e-05,8 
iterative_deepening,Oradea,Iasi,0.00014413999997486826,7 
greedy_search,Oradea,Iasi,2.1699999888369347e-05,0 
a_star_search,Oradea,Iasi,0.00013071000012132572,8 
breadth_first_search,Oradea,Urziceni,2.5249999816878697e-05,5 
depth_first_search,Oradea,Urziceni,4.369999987829942e-06,5 
uniform_cost_search,Oradea,Urziceni,2.5430000096093864e-05,6 
iterative_deepening,Oradea,Urziceni,3.199000002496177e-05,5 
greedy_search,Oradea,Urziceni,3.4220000088680536e-05,5 
a_star_search,Oradea,Urziceni,7.899000011093448e-05,6 
breadth_first_search,Oradea,Pitesti,1.2389999938022811e-05,4 
depth_first_search,Oradea,Pitesti,9.800000225368421e-06,5 
uniform_cost_search,Oradea,Pitesti,1.1779999840655365e-05,4 
iterative_deepening,Oradea,Pitesti,1.6740000137360767e-05,4 
greedy_search,Oradea,Pitesti,3.048999988095602e-05,4 
a_star_search,Oradea,Pitesti,4.21500002630637e-05,4 
breadth_first_search,Sibiu,Zerind,8.779999916441739e-06,3 
depth_first_search,Sibiu,Zerind,1.2340000284893905e-05,11 
uniform_cost_search,Sibiu,Zerind,1.1020000056305434e-05,3 
iterative_deepening,Sibiu,Zerind,1.1699999959091656e-05,3 
greedy_search,Sibiu,Zerind,2.2369999896909576e-05,3 
