Algorithm            ,City One              ,City Two        ,Average Time           ,Path Length
uniform_cost_search  ,Urziceni              ,Fagaras         ,2.302999928360805e-05  ,          3
iterative_deepening  ,Urziceni              ,Fagaras         ,1.2110000170650892e-05 ,          3
greedy_search        ,Urziceni              ,Fagaras         ,2.4700000358279796e-05 ,          3
a_star_search        ,Urziceni              ,Fagaras         ,5.527000030269846e-05  ,          3
breadth_first_search ,Urziceni              ,Eforie          ,1.5199999324977398e-05 ,          3
depth_first_search   ,Urziceni              ,Eforie          ,5.170000440557487e-06  ,          3
uniform_cost_search  ,Urziceni              ,Eforie          ,1.0330000077374279e-05 ,          3
iterative_deepening  ,Urziceni              ,Eforie          ,1.0269999984302558e-05 ,          3
greedy_search        ,Urziceni              ,Eforie          ,1.7129999105236492e-05 ,          3
a_star_search        ,Urziceni              ,Eforie          ,3.366000091773458e-05  ,          3
breadth_first_search ,Urziceni              ,Zerind          ,2.6820000130101107e-05 ,          6
depth_first_search   ,Urziceni              ,Zerind          ,2.0000000949949027e-05 ,         12
uniform_cost_search  ,Urziceni              ,Zerind          ,3.941999966627918e-05  ,          7
iterative_deepening  ,Urziceni              ,Zerind          ,6.581000052392482e-05  ,          6
greedy_search        ,Urziceni              ,Zerind          ,0.00012565999968501275 ,          6
a_star_search        ,Urziceni              ,Zerind          ,0.0001158399991254555  ,          7
breadth_first_search ,Urziceni              ,Lugoj           ,3.5990000469610095e-05 ,          7
depth_first_search   ,Urziceni              ,Lugoj           ,1.2079999942216091e-05 ,          7
uniform_cost_search  ,Urziceni              ,Lugoj           ,3.862999947159551e-05  ,          7
iterative_deepening  ,Urziceni              ,Lugoj           ,0.00014114000005065462 ,          7
greedy_search        ,Urziceni              ,Lugoj           ,5.06799991853768e-05   ,          7
a_star_search        ,Urziceni              ,Lugoj           ,0.00017468000041844788 ,          7
breadth_first_search ,Urziceni              ,Vaslui          ,2.005000023928005e-05  ,          2
depth_first_search   ,Urziceni              ,Vaslui          ,8.019999222597108e-06  ,          2
uniform_cost_search  ,Urziceni              ,Vaslui          ,2.07199998840224e-05   ,          2
iterative_deepening  ,Urziceni              ,Vaslui          ,8.859999434207566e-06  ,          2
greedy_search        ,Urziceni              ,Vaslui          ,5.582000048889313e-05  ,          2
a_star_search        ,Urziceni              ,Vaslui          ,2.6889999935519883e-05 ,          2
breadth_first_search ,Hirsova               ,Sibiu           ,1.883000077214092e-05  ,          5
depth_first_search   ,Hirsova               ,Sibiu           ,1.6619999587419444e-05 ,         11
uniform_cost_search  ,Hirsova               ,Sibiu           ,2.1759999435744247e-05 ,          6
iterative_deepening  ,Hirsova               ,Sibiu           ,3.9050000123097564e-05 ,          5
greedy_search        ,Hirsova               ,Sibiu           ,6.593999969481957e-05  ,          5
a_star_search        ,Hirsova               ,Sibiu           ,9.210999887727666e-05  ,          6
breadth_first_search ,Hirsova               ,Arad            ,2.3630000578123143e-05 ,          6
depth_first_search   ,Hirsova               ,Arad            ,1.4039999587112107e-05 ,         10
uniform_cost_search  ,Hirsova               ,Arad            ,2.7079999563284217e-05 ,          7
iterative_deepening  ,Hirsova               ,Arad            ,3.8940001104492694e-05 ,          6
greedy_search        ,Hirsova               ,Arad            ,4.310999938752502e-05  ,          6
a_star_search        ,Hirsova               ,Arad            ,9.760999964782968e-05  ,          7
breadth_first_search ,Hirsova               ,Craiova         ,3.0300000071292742e-05 ,          5
depth_first_search   ,Hirsova               ,Craiova         ,1.0130000009667129e-05 ,          5
uniform_cost_search  ,Hirsova               ,Craiova         ,1.8429999909130856e-05 ,          5
iterative_deepening  ,Hirsova               ,Craiova         ,4.017999963252805e-05  ,          5
greedy_search        ,Hirsova               ,Craiova         ,3.561999947123695e-05  ,          5
a_star_search        ,Hirsova               ,Craiova         ,6.132000089564826e-05  ,          5
breadth_first_search ,Hirsova               ,Fagaras         ,9.619999400456435e-06  ,          4
depth_first_search   ,Hirsova               ,Fagaras         ,1.6039999900385736e-05 ,         12
uniform_cost_search  ,Hirsova               ,Fagaras         ,1.61299994942965e-05   ,          4
iterative_deepening  ,Hirsova               ,Fagaras         ,2.18700006371364e-05   ,          4
greedy_search        ,Hirsova               ,Fagaras         ,2.767999940260779e-05  ,          4
a_star_search        ,Hirsova               ,Fagaras         ,6.152999994810671e-05  ,          4
breadth_first_search ,Hirsova               ,Eforie          ,4.980000085197389e-06  ,          2
depth_first_search   ,Hirsova               ,Eforie          ,1.800001336960122e-06  ,          2
uniform_cost_search  ,Hirsova               ,Eforie          ,2.9199996788520367e-06 ,          2
iterative_deepening  ,Hirsova               ,Eforie          ,1.1290000111330301e-05 ,          2
greedy_search        ,Hirsova               ,Eforie          ,8.910000178730116e-06  ,          2
a_star_search        ,Hirsova               ,Eforie          ,2.010000062000472e-05  ,          2
breadth_first_search ,Hirsova               ,Zerind          ,2.582000015536323e-05  ,          7
depth_first_search   ,Hirsova               ,Zerind          ,1.8769999951473437e-05 ,         13
uniform_cost_search  ,Hirsova               ,Zerind          ,3.561000012268778e-05  ,          8
iterative_deepening  ,Hirsova               ,Zerind          ,6.826999961049297e-05  ,          7
greedy_search        ,Hirsova               ,Zerind          ,7.062999975460116e-05  ,          7
a_star_search        ,Hirsova               ,Zerind          ,0.0003675400006613927  ,          8
breadth_first_search ,Hirsova               ,Lugoj           ,3.606999998737592e-05  ,          8
depth_first_search   ,Hirsova               ,Lugoj           ,1.4000000373926013e-05 ,          8
uniform_cost_search  ,Hirsova               ,Lugoj           ,4.307000053813681e-05  ,          8
iterative_deepening  ,Hirsova               ,Lugoj           ,0.00013929000015195926 ,          8
greedy_search        ,Hirsova               ,Lugoj           ,5.6990000302903354e-05 ,          8
a_star_search        ,Hirsova               ,Lugoj           ,0.00017997999930230435 ,          8
breadth_first_search ,Hirsova               ,Vaslui          ,8.999999772640877e-06  ,          3
depth_first_search   ,Hirsova               ,Vaslui          ,4.069999704370275e-06  ,          3
uniform_cost_search  ,Hirsova               ,Vaslui          ,1.1660000382107683e-05 ,          3
iterative_deepening  ,Hirsova               ,Vaslui          ,8.02999929874204e-06   ,          3
greedy_search        ,Hirsova               ,Vaslui          ,1.728000061120838e-05  ,          3
a_star_search        ,Hirsova               ,Vaslui          ,3.390999954717699e-05  ,          3
breadth_first_search ,Sibiu                 ,Arad            ,5.8500001614447685e-06 ,          2
depth_first_search   ,Sibiu                 ,Arad            ,1.4839999857940711e-05 ,         10
uniform_cost_search  ,Sibiu                 ,Arad            ,7.970000660861843e-06  ,          2
iterative_deepening  ,Sibiu                 ,Arad            ,4.629999602911994e-06  ,          2
greedy_search        ,Sibiu                 ,Arad            ,1.630000042496249e-05  ,          2
a_star_search        ,Sibiu                 ,Arad            ,3.9149999793153256e-05 ,          2
breadth_first_search ,Sibiu                 ,Craiova         ,1.5110000094864518e-05 ,          3
depth_first_search   ,Sibiu                 ,Craiova         ,1.0129999282071367e-05 ,          5
uniform_cost_search  ,Sibiu                 ,Craiova         ,1.7299998944508843e-05 ,          3
iterative_deepening  ,Sibiu                 ,Craiova         ,2.12099988857517e-05   ,          3
greedy_search        ,Sibiu                 ,Craiova         ,2.7849999969475903e-05 ,          3
a_star_search        ,Sibiu                 ,Craiova         ,4.1060000512516126e-05 ,          3
breadth_first_search ,Sibiu                 ,Fagaras         ,9.060000229510478e-06  ,          2
depth_first_search   ,Sibiu                 ,Fagaras         ,2.0300001779105513e-06 ,          2
uniform_cost_search  ,Sibiu                 ,Fagaras         ,6.150000263005495e-06  ,          2
iterative_deepening  ,Sibiu                 ,Fagaras         ,4.4800006435252724e-06 ,          2
greedy_search        ,Sibiu                 ,Fagaras         ,1.584999954502564e-05  ,          2
a_star_search        ,Sibiu                 ,Fagaras         ,2.824000002874527e-05  ,          2
breadth_first_search ,Sibiu                 ,Eforie          ,3.509999987727497e-05  ,          6
depth_first_search   ,Sibiu                 ,Eforie          ,7.810000533936546e-06  ,          6
uniform_cost_search  ,Sibiu                 ,Eforie          ,3.8070000300649554e-05 ,          7
iterative_deepening  ,Sibiu                 ,Eforie          ,9.003999912238214e-05  ,          6
greedy_search        ,Sibiu                 ,Eforie          ,3.9980000292416665e-05 ,          6
a_star_search        ,Sibiu                 ,Eforie          ,0.00010002000017266255 ,          7
breadth_first_search ,Sibiu                 ,Zerind          ,9.76999981503468e-06   ,          3
depth_first_search   ,Sibiu                 ,Zerind          ,1.4289999307948165e-05 ,         11
uniform_cost_search  ,Sibiu                 ,Zerind          ,1.2260000221431256e-05 ,          3
iterative_deepening  ,Sibiu                 ,Zerind          ,1.1799999629147351e-05 ,          3
greedy_search        ,Sibiu                 ,Zerind          ,2.2650000028079374e-05 ,          3
a_star_search        ,Sibiu                 ,Zerind          ,4.464999947231263e-05  ,          3
breadth_first_search ,Sibiu                 ,Lugoj           ,1.551000023027882e-05  ,          4
depth_first_search   ,Sibiu                 ,Lugoj           ,1.0960000145132653e-05 ,          8
uniform_cost_search  ,Sibiu                 ,Lugoj           ,2.4060000214376487e-05 ,          4
iterative_deepening  ,Sibiu                 ,Lugoj           ,2.2369999715010636e-05 ,          4
greedy_search        ,Sibiu                 ,Lugoj           ,2.4140001187333837e-05 ,          4
a_star_search        ,Sibiu                 ,Lugoj           ,0.00011511999946378637 ,          4
breadth_first_search ,Sibiu                 ,Vaslui          ,2.7710000358638355e-05 ,          5
depth_first_search   ,Sibiu                 ,Vaslui          ,4.760000228998251e-06  ,          5
uniform_cost_search  ,Sibiu                 ,Vaslui          ,3.4329999471083285e-05 ,          6
iterative_deepening  ,Sibiu                 ,Vaslui          ,4.68999998702202e-05   ,          5
greedy_search        ,Sibiu                 ,Vaslui          ,1.8570000975159928e-05 ,          0
a_star_search        ,Sibiu                 ,Vaslui          ,9.280999947804957e-05  ,          6
breadth_first_search ,Arad                  ,Craiova         ,1.551999994262587e-05  ,          4
depth_first_search   ,Arad                  ,Craiova         ,5.320000855135731e-06  ,          6
uniform_cost_search  ,Arad                  ,Craiova         ,1.8649999401532113e-05 ,          4
iterative_deepening  ,Arad                  ,Craiova         ,2.783999989333097e-05  ,          4
greedy_search        ,Arad                  ,Craiova         ,2.995999966515228e-05  ,          4
a_star_search        ,Arad                  ,Craiova         ,5.120999994687736e-05  ,          4
breadth_first_search ,Arad                  ,Fagaras         ,1.1299999096081592e-05 ,          3
depth_first_search   ,Arad                  ,Fagaras         ,1.3110000509186648e-05 ,          9
uniform_cost_search  ,Arad                  ,Fagaras         ,1.2959999730810523e-05 ,          3
iterative_deepening  ,Arad                  ,Fagaras         ,9.590000627213157e-06  ,          3
greedy_search        ,Arad                  ,Fagaras         ,2.2649999664281495e-05 ,          3
a_star_search        ,Arad                  ,Fagaras         ,4.665000124077778e-05  ,          3
breadth_first_search ,Arad                  ,Eforie          ,3.182999971613753e-05  ,          7
depth_first_search   ,Arad                  ,Eforie          ,1.1440000525908544e-05 ,         11
uniform_cost_search  ,Arad                  ,Eforie          ,3.542000013112556e-05  ,          8
iterative_deepening  ,Arad                  ,Eforie          ,0.00010878999964916147 ,          7
greedy_search        ,Arad                  ,Eforie          ,4.680999991251156e-05  ,          7
a_star_search        ,Arad                  ,Eforie          ,0.0001253500005987007  ,          8
breadth_first_search ,Arad                  ,Zerind          ,3.920000017387792e-06  ,          2
depth_first_search   ,Arad                  ,Zerind          ,1.6610001330263914e-05 ,         12
uniform_cost_search  ,Arad                  ,Zerind          ,3.370000922586769e-06  ,          2
iterative_deepening  ,Arad                  ,Zerind          ,3.969999670516699e-06  ,          2
greedy_search        ,Arad                  ,Zerind          ,1.1560000348254108e-05 ,          2
a_star_search        ,Arad                  ,Zerind          ,2.2689999241265468e-05 ,          2
breadth_first_search ,Arad                  ,Lugoj           ,1.2230000356794335e-05 ,          3
depth_first_search   ,Arad                  ,Lugoj           ,2.540000423323363e-06  ,          3
uniform_cost_search  ,Arad                  ,Lugoj           ,1.1269999959040433e-05 ,          3
iterative_deepening  ,Arad                  ,Lugoj           ,1.691999932518229e-05  ,          3
greedy_search        ,Arad                  ,Lugoj           ,1.550999986648094e-05  ,          3
a_star_search        ,Arad                  ,Lugoj           ,3.794000076595694e-05  ,          3
breadth_first_search ,Arad                  ,Vaslui          ,2.854000085790176e-05  ,          6
depth_first_search   ,Arad                  ,Vaslui          ,8.800000796327367e-06  ,         10
uniform_cost_search  ,Arad                  ,Vaslui          ,3.292999972472899e-05  ,          7
iterative_deepening  ,Arad                  ,Vaslui          ,7.063999946694821e-05  ,          6
greedy_search        ,Arad                  ,Vaslui          ,2.542000038374681e-05  ,          0
a_star_search        ,Arad                  ,Vaslui          ,0.00013034000039624516 ,          7
breadth_first_search ,Craiova               ,Fagaras         ,1.694999955361709e-05  ,          4
depth_first_search   ,Craiova               ,Fagaras         ,6.959999518585392e-06  ,          8
uniform_cost_search  ,Craiova               ,Fagaras         ,1.863999968918506e-05  ,          4
iterative_deepening  ,Craiova               ,Fagaras         ,2.803000061248895e-05  ,          4
greedy_search        ,Craiova               ,Fagaras         ,2.9099999665049836e-05 ,          4
a_star_search        ,Craiova               ,Fagaras         ,5.751000026066322e-05  ,          4
breadth_first_search ,Craiova               ,Eforie          ,6.958999947528354e-05  ,          6
depth_first_search   ,Craiova               ,Eforie          ,2.204999909736216e-05  ,         12
uniform_cost_search  ,Craiova               ,Eforie          ,8.450000059383456e-05  ,          6
iterative_deepening  ,Craiova               ,Eforie          ,0.00013962999983050395 ,          6
greedy_search        ,Craiova               ,Eforie          ,0.000188960000014049   ,          6
a_star_search        ,Craiova               ,Eforie          ,8.014000050025061e-05  ,          6
breadth_first_search ,Craiova               ,Zerind          ,2.432000110275112e-05  ,          5
depth_first_search   ,Craiova               ,Zerind          ,1.779000085662119e-05  ,          9
uniform_cost_search  ,Craiova               ,Zerind          ,2.6029999935417437e-05 ,          5
iterative_deepening  ,Craiova               ,Zerind          ,5.137999978614971e-05  ,          5
greedy_search        ,Craiova               ,Zerind          ,3.568000029190444e-05  ,          7
a_star_search        ,Craiova               ,Zerind          ,9.597999815014191e-05  ,          5
breadth_first_search ,Craiova               ,Lugoj           ,2.2720000561093912e-05 ,          4
depth_first_search   ,Craiova               ,Lugoj           ,3.489999653538689e-06  ,          4
uniform_cost_search  ,Craiova               ,Lugoj           ,1.5899999561952426e-05 ,          4
iterative_deepening  ,Craiova               ,Lugoj           ,2.8709999605780466e-05 ,          4
greedy_search        ,Craiova               ,Lugoj           ,2.03499999770429e-05   ,          4
a_star_search        ,Craiova               ,Lugoj           ,3.987999953096733e-05  ,          4
breadth_first_search ,Craiova               ,Vaslui          ,2.8869999732705763e-05 ,          5
depth_first_search   ,Craiova               ,Vaslui          ,9.930000305757859e-06  ,         11
uniform_cost_search  ,Craiova               ,Vaslui          ,3.465999980107881e-05  ,          5
iterative_deepening  ,Craiova               ,Vaslui          ,5.400999943958595e-05  ,          5
greedy_search        ,Craiova               ,Vaslui          ,3.6980000004405156e-05 ,          0
a_star_search        ,Craiova               ,Vaslui          ,9.218999985023401e-05  ,          5
breadth_first_search ,Fagaras               ,Eforie          ,2.843000074790325e-05  ,          5
depth_first_search   ,Fagaras               ,Eforie          ,6.689999645459466e-06  ,          5
uniform_cost_search  ,Fagaras               ,Eforie          ,3.1260000105248766e-05 ,          5
iterative_deepening  ,Fagaras               ,Eforie          ,4.0729999818722716e-05 ,          5
greedy_search        ,Fagaras               ,Eforie          ,3.070999955525622e-05  ,          5
a_star_search        ,Fagaras               ,Eforie          ,5.5419999262085186e-05 ,          5
breadth_first_search ,Fagaras               ,Zerind          ,1.5689999781898222e-05 ,          4
depth_first_search   ,Fagaras               ,Zerind          ,1.7049999223672784e-05 ,         12
uniform_cost_search  ,Fagaras               ,Zerind          ,1.9159999283147044e-05 ,          4
iterative_deepening  ,Fagaras               ,Zerind          ,2.0459999359445646e-05 ,          4
greedy_search        ,Fagaras               ,Zerind          ,3.391999962332193e-05  ,          4
a_star_search        ,Fagaras               ,Zerind          ,5.347999940568116e-05  ,          4
